Name,Cash_Balance
grizzledLocust0,password,76752
alertQuiche2,password,31357
needyCrane4,password,52406
yearningSeagull1,password,29519
yearningSmelt6,password,85988
pitifulFerret3,password,21826
joyfulMare4,password,62271
grudgingQuiche9,password,62004
jumpyHoopoe6,password,54075
affectedCur5,password,35657
debonairCrane0,password,10187
joyfulDinosaur2,password,91183
pleasedSmelt0,password,24618
grizzledLocust9,password,82687
decimalCordial9,password,73868
jubilantOrange9,password,15861
pacifiedBasmati8,password,89250
crushedPup3,password,22355
pitifulRuffs1,password,19255
emptySalt5,password,25356
shyLion9,password,7360
murkyRelish4,password,99829
joyfulClam7,password,63705
wornoutChough9,password,35387
mellowHeron5,password,96337
outlyingLeopard7,password,62171
trustingRaisins2,password,23988
amazedEagle9,password,5061
unhappyDoughnut9,password,23127
ferventCheetah3,password,47736
fondHare6,password,6723
pacifiedWildfowl7,password,3955
sheepishGarlic7,password,33091
dearPlover3,password,53793
mildHoopoe6,password,36964
boastfulMacaw1,password,6938
gleefulCrane9,password,85736
panickySardines5,password,99751
lovesickThrush6,password,50933
soreBoars7,password,44858
contentMackerel6,password,95948
blissfulSeahorse4,password,36453
solemnSardines0,password,65392
pluckyAntelope5,password,64463
sadFlamingo3,password,38642
affectedCow9,password,72740
sugaryFlamingo2,password,23434
jumpyHyena0,password,72876
stressedSheep8,password,94054
ecstaticOil5,password,47032
jumpyCoati3,password,44499
solidRat1,password,13241
cockySnail5,password,53455
solidSnipe9,password,63513
giddyCrane8,password,42317
sadMeerkat6,password,84332
sincereAntelope4,password,56965
amusedEagle5,password,9575
trustingJerky4,password,92784
puzzledTuna2,password,35717
scornfulCaviar5,password,84286
pluckyTomatoe9,password,75893
holisticPie7,password,51963
annoyedCoati1,password,44994
worldlyBuck0,password,58503
worldlyPoultry0,password,5109
gloomyLapwing4,password,10969
ferventMoth7,password,45824
sheepishCardinal6,password,77842
morbidPudding6,password,95812
cheerfulBasmati7,password,20136
troubledCurlew3,password,36098
enragedSausage9,password,22311
puzzledPudding9,password,83189
crushedOrange3,password,12915
resolvedOcelot5,password,3824
amusedFalcon2,password,97939
murkyFalcon6,password,37513
spiritedWildfowl4,password,32369
ferventOryx6,password,65776
sincerePiglet4,password,84105
spiritedCaviar4,password,26316
peskyTeal3,password,72249
goofyEland1,password,56559
sugaryBaboon8,password,57605
wornoutHeron4,password,63063
wrathfulCockatoo8,password,93633
truthfulToucan7,password,81393
needfulTermite7,password,42351
shamefulPonie2,password,52277
scornfulSeahorse8,password,67380
humorousCockatoo5,password,83377
cheerfulSalami7,password,13156
artisticMuesli3,password,50789
puzzledPorpoise8,password,52676
drearyLizard9,password,24631
tautSnipe0,password,10939
cautiousHoopoe1,password,16708
jubilantTortoise2,password,20667
curiousPudding1,password,78668
