Name,Cash_Balance
mildEland4,password,85421
sincereTruffle8,password,19120
grizzledBuck9,password,45001
solidWildfowl4,password,33107
stressedTeal0,password,58473
jubilantBagels1,password,7781
exactingCrane2,password,72103
abjectDove6,password,86434
shyVenison6,password,99557
aboardLard0,password,32438
scornfulChowder3,password,22992
dopeyWigeon1,password,67962
chicPolenta6,password,43792
boredWhiting0,password,70765
dreadfulPretzels8,password,23144
relievedPudding3,password,78033
grizzledDove3,password,90829
debonairBoars7,password,37946
goofyHare0,password,69840
fondCow6,password,83595
gutturalChowder9,password,43819
affectedPoultry0,password,62781
euphoricToucan8,password,14210
somberLapwing6,password,92214
boastfulSalt2,password,71070
aloofIguana0,password,50369
innocentPudding1,password,78871
somberGarlic4,password,42084
guiltyViper6,password,69195
stressedOil5,password,4158
mereRuffs3,password,41766
vengefulWeaver2,password,98237
amusedLion0,password,36561
cockyPear0,password,15988
mellowStork3,password,29781
jumpyTacos1,password,1359
sadSmelt7,password,35305
soreMare5,password,33040
cockyMuesli6,password,66166
vengefulPup1,password,35238
grumpyTruffle1,password,77080
mellowOcelot7,password,89842
lazyOryx5,password,55489
wrathfulChile2,password,92326
finickyPoultry3,password,90421
dreadfulLion2,password,65600
bubblyMallard3,password,17252
sincereHoopoe0,password,89285
sincereChile6,password,61016
aboardApples1,password,24067
sugaryBasmati8,password,10988
spiritedVenison7,password,97649
betrayedGnu4,password,97735
solidQuiche3,password,45924
wakefulBuck6,password,84316
emptyLizard4,password,55501
vengefulWidgeon0,password,13825
affectedDoves2,password,76176
goofyCoconut7,password,24696
brainyHare8,password,48623
worriedSnipe5,password,7286
ferventFlamingo5,password,89655
thrilledPonie9,password,65843
bubblyWigeon0,password,99317
eagerFalcon9,password,39995
dreadfulCheetah6,password,68373
lyingCod1,password,40554
lovesickCurlew1,password,3869
mereCake9,password,82153
empathicDunbird9,password,75323
artisticCamel5,password,12498
boastfulFish7,password,11320
cruelCake0,password,83952
cautiousLapwing8,password,45686
hushedCaviar0,password,2963
soreRelish0,password,8725
crushedJerky1,password,33048
spiritedSyrup2,password,81222
enviousPoultry9,password,77047
similarSheep5,password,28072
mercifulCod9,password,11085
peskyChamois7,password,96659
pleasedGelding8,password,43141
outlyingOatmeal2,password,26038
sheepishCordial4,password,35202
puzzledThrush5,password,81694
lyingAbalone8,password,47638
obsessedRuffs8,password,96933
yearningPonie0,password,5630
ardentLocust4,password,40240
joyfulPepper9,password,57668
relievedApricots6,password,63788
worldlyDotterel0,password,22842
aloofSwift7,password,12447
abjectDinosaur4,password,25352
yearningFish2,password,3521
solidWidgeon0,password,75509
gutturalCaribou7,password,12237
thriftyCrackers6,password,1746
wakefulSnail4,password,58555
